OA_Topic,match_with_OA,which_is_better,comment_OA,comment_OG,202_gpt4,Title,Abstract
Genomic and Epidemiological Studies of Phytophthora Pathogens,,,,,"Potato Pest Management Studies || Research across various locations focused on managing pests in potato crops, specifically the Colorado Potato Beetle and other insects. Experiments conducted primarily on Portneuf silt loam and Ritzville silt loam soils involved trials with foliar and soil-applied insecticides. Plots were established with standardized dimensions and treatments applied using calibrated sprayers to assess effectiveness in controlling pests without harming the crop. The studies spanned multiple years, indicating ongoing efforts to refine pest control strategies for potatoes.","Furrow Treatments of Systemic Insecticides for Control of <u>M</u>. Persicae and <u>L</u>. <u>Decemlineata</u>, 1976","‘Russet Burbank’ potatoes were planted in open furrows on April 16, 1976, in Ritzville silt loam soil at Yakima, Washington. After the granular formulated insecticides (listed in table) had been dribbled over the potato seed pieces with a hand-operated, funnel-type applicator, the seed pieces were covered with soil. The plots were 2 rows wide, 34 inches apart (86 cm) and 50 ft long (15.2 m). Each treatment was replicated 3 times in a randomized complete block design. The crop was sprinkler irrigated. Aphids on 20 compound potato leaves per plot were counted June 8 (only 1 aphid found), 17, July 7, and August 4, and Colorado potato beedle damage per plot was rated (from 1 to 10) on August 11, 19, 26, and September 2 (plants were too mature and too badly damaged latter 2 dates to provide meaningful data). The data were subjected to analysis of variance with Duncan’s Multiple Range Test. A similar experiment was made at Yakima airport in Ahtanum silt loam soil."
Dynamic Modeling of Plant Form and Growth,,,,,"""AquaCrop Model Evaluation || This topic revolves around the calibration and validation of the FAO-developed AquaCrop model across various studies. It highlights the model's application in simulating crop yield, water use efficiency, soil water content, and other critical agricultural parameters for different crops, including winter wheat and maize, under various irrigation regimes and conditions. The research emphasizes the model's utility in assessing and optimizing crop management strategies to improve agricultural water efficiency and productivity in response to water availability.""",Usefulness of cultivar-level calibration of AquaCrop for vegetables depends on the crop and data availability,"As a result of climate change, climatic extremes are expected to increase. For high-value crops like vegetables, irrigation is a potentially economically viable adaptation measure in western Europe. To optimally schedule irrigation, decision support systems based on crop models like AquaCrop are increasingly used by farmers. High value vegetable crops like cauliflower or spinach are grown in two distinct growth cycles per year and, additionally, have a high turnover rate of new varieties. To successfully deploy the AquaCrop model in a decision support system, it requires a robust calibration. However, it is not known whether parameters can be conserved over both growth periods, nor whether a cultivar dependent model calibration is always required. Furthermore, when data are collected from farmers' fields, there are constraints in data availability and uncertainty. We collected data from commercial cauliflower and spinach fields in Belgium in 2019, 2020 and 2021 during different growing periods and of different cultivars. With the use of a Bayesian calibration, we confirmed the need for a condition or cultivar specific calibration for cauliflower, while for spinach, splitting the data per cultivar or pooling the data together did not improve uncertainty on the model simulations. However, due to uncertainties arising from field specific soil and weather conditions, or measurement errors from calibration data, real time field specific adjustments are advised to simulations when using AquaCrop as decision support tool. Remotely sensed or in situ ground data may be invaluable information to reduce uncertainty on model simulations."
Biological Properties of Garlic and Its Compounds,,,,,"Onion Cultivation Research || This topic consolidates various field experiments focused on enhancing the growth, yield, and quality of onion (Allium cepa L.) crops through different agricultural techniques. Studies investigate the impacts of irrigation levels, plant density, nitrogen fertilizer application, and intra-row spacing across diverse geographic locations. The research aims to overcome challenges like low productivity and high post-harvest losses by identifying optimal agronomic practices for different onion varieties under varying environmental conditions.","The Influence of Phosphorus and Transplanting Date on Onion (<i>Allium Cepa</i> L.) Quality Parameters and yield of bulb Under Irrigation at Adami Tulu Jedo Kombolcha Woreda, East showa zone, Oromia Region","A field experiment was showed to decide the influence of phosphorus level and transplanting date on quality parameters of onion at Adami Tulu Jedo Kombolcha Woreda, during 2017/18 season. The treatments consisted of four phosphorus levels (0, 20, 40 and 60 kg P ha ?1 ) and three transplanting date (42, 49 and 56 days). The experiment was laid out in randomized complete block design with four replications. The result showed that phosphorus level and transplanting date significantly influenced bulb dry matter content, marketable bulb yield, medium size bulb yield. Among these parameters, marketable bulb yield was also significantly influenced by the interaction of phosphorus level and transplanting date. On the other hand, small size bulb yield, large size bulb yield, over size bulb yield and under size bulb yield were only influenced by the effect of phosphorus levels. In this study, fertilized 60 kg P ha ?1 with transplanting at 56 days of transplanting date recorded the highest marketable bulb yield, but no significant difference was showed with that obtained at 40 kg P ha ?1 with the same transplanting date. Treatment combinations of no P (control) and transplanting date at 42 days produced the lowest amounts of marketable bulb yield. The economic analysis revealed that the highest net benefit with low cost of production was obtained in response to the application of 40 kg P ha ?1 and the transplanting age of 56 days. The marginal rate of return for this treatment was 11983% which is found to be economically feasible for producing bulb in the districts."
Plant Nutrition and Growth Optimization,,,,,"Passion Fruit Salt Stress Mitigation || Studies across this topic focus on combating the effects of soil and irrigation water salinity on passion fruit cultivation in PB, Brazil. Research explores innovative strategies, including the use of foliar applications like pyruvate and hydrogen peroxide, potassium fertilization, and saline water management to enhance the growth, photosynthesis, and fruit quality of sour and yellow passion fruit varieties under semi-arid conditions. These mitigation techniques offer promising avenues for improving crop resilience and productivity in salt-stressed environments.",Avaliação de mudas de maracujazeiro com diferentes tipos de substratos e concentrações salinas,"The yellow passion fruit (Passiflora edulis f. flavicarpa Degener) crops have been gaining notoriety in Brazil, whose cultivation extends to almost all regions. The aim of this study was to evaluate the growth of yellow passion fruit seedlings in response to the interaction between substrate composition and irrigation water salinity levels. The experimental trial was installed in a randomized block design, with a factorial scheme (3x6) consisting of two factors: three levels of salinity and six types of substrates, distributed in four replications, each plot consisting of a polyethylene bag composed of two plants. The factor levels of salinity, electrical conductivity: 0.3, 1.2 and 2.1 dSm-1 did not influence the physiological growth and development of the seedlings, the substrates resulted in statistically significant effects, the cattle manure presented the highest percentage in levels of physiological growth and development of the plant."
Plant Responses to Flooding Stress,,,,,"Potato Irrigation Efficiency || Studies across various regions including Egypt, Ethiopia, Kermanshah, and Tunisia focus on optimizing water usage for potato cultivation. Techniques investigated include drip and furrow irrigation, bio-stimulants, and the impact of nitrogen sources and microbial treatments on yield and water productivity. Research encompasses field experiments on different irrigation regimes, exploring the effects on potato growth, yield, quality, and soil properties with the goal of enhancing irrigation efficiency under varying environmental conditions.",Reaction of Sweet Potatoes to Flooding,"Flooding is a serious problem in sweet potato production in Atlantic and Gulf Coast states. Studies have been attempted using irrigation to simulate flooding (1, 3). Results have been inconsistent and flood damage was often difficult to induce. However, during 5 days in 1984, Hurricane Diana resulted in 267.5 mm of rainfall on sweet potato cultivar plots at the Horticultural Crops Research Station in Clinton, N.C. The plots were planted in a Norfolk sandy loam soil. When plots were harvested 2 weeks later, flood damage was readily apparent. Typical symptoms of flooding injury included visible soft, rotted areas, growth of saprophytic fungi on the surface and a noticeable odor of fermentation. Roots were separated into three groups (total marketable, culls, and flood-damaged roots) and weighed. Samples were also taken of apparently sound roots for intercellular space and dry matter evaluations (four roots each) and for determining amount of sub-sequent rotting during curing and storing (12–13 kg). Intercellular space and percent dry matter were determined according to Kushman and Pope (2)."
Molecular Responses to Abiotic Stress in Plants,,,,,"Gene Expression & Stress Tolerance || This topic explores the molecular mechanisms behind plant responses to various abiotic stresses, including drought, salinity, and cold. It focuses on the role of gene expression, abscisic acid (ABA) signaling, and the identification of differentially expressed genes and mechanisms that confer drought tolerance. Studies examine transgenic plants, natural genetic variation, and the impact of external factors like soil salinity and microbial interactions on gene expression patterns, highlighting advances in understanding and improving plant stress tolerance.",Mechanistic basis for mitigating drought tolerance by selenium application in tobacco (Nicotiana tabacum L.): a multi-omics approach,"The lack of irrigation water in agricultural soils poses a significant constraint on global crop production. In-depth investigation into microRNAs (miRNAs) has been widely used to achieve a comprehensive understanding of plant defense mechanisms. However, there is limited knowledge on the association of miRNAs with drought tolerance in cigar tobacco. In this study, a hydroponic experiment was carried out to identify changes in plant physiological characteristics, miRNA expression and metabolite profile under drought stress, and examine the mitigating effects of selenium (Se) application. The shoot dry weight of drought-stressed plants was approximately half (50.3%) of that in non-stressed (control) conditions. However, plants supplied with Se attained 38.8% greater shoot dry weight as compared to plants with no Se supply under drought stress. Thirteen miRNAs were identified to be associated with drought tolerance. These included 7 known (such as nta-miR156b and nta-miR166a) and 6 novel miRNAs (such as novel-nta-miR156-5p and novel-nta-miR209-5p) with the target genes of squamosa promoter-binding-like protein 4 (SPL4), serine/threonine protein phosphatase 2A (PPP2A), cation/calcium exchanger 4-like (CCX4), extensin-1-like (EXT1) and reduced wall acetylation 2 (RWA2). Further investigation revealed that the expression levels of Ext1 and RWA2 were significantly decreased under drought stress but increased with Se addition. Moreover, key metabolites such as catechin and N-acetylneuraminic acid were identified, which may play a role in the regulation of drought tolerance. The integrated analysis of miRNA sequencing and metabolome highlighted the significance of the novel-nta-miR97-5p- LRR-RLK- catechin pathway in regulating drought tolerance. Our findings provide valuable insights into the molecular mechanisms underlying drought tolerance and Se-induced stress alleviation in cigar tobacco."
Genetic Diversity and Breeding of Wheat,,,,,"Wheat Genomics and Drought Tolerance || This topic focuses on identifying genetic markers and quantitative trait loci (QTL) associated with drought tolerance and yield in bread wheat (Triticum aestivum L.) through genome-wide association studies (GWAS). It explores the genetic architecture of agronomic traits under varying water regimes, using diverse wheat lines and advanced genomic tools, to improve drought resilience and grain yield.",GWAS to Identify Novel QTNs for WSCs Accumulation in Wheat Peduncle Under Different Water Regimes,"Water-soluble carbohydrates (WSCs) play a vital role in water stress avoidance and buffering wheat grain yield. However, the genetic architecture of stem WSCs' accumulation is partially understood, and few candidate genes are known. This study utilizes the compressed mixed linear model-based genome wide association study (GWAS) and heuristic post GWAS analyses to identify causative quantitative trait nucleotides (QTNs) and candidate genes for stem WSCs' content at 15 days after anthesis under different water regimes (irrigated, rainfed, and drought). Glucose, fructose, sucrose, fructans, total non-structural carbohydrates (the sum of individual sugars), total WSCs (anthrone based) quantified in the peduncle of 301 bread wheat genotypes under multiple environments (E01-E08) pertaining different water regimes, and 14,571 SNPs from ""35K Axiom Wheat Breeders"" Array were used for analysis. As a result, 570 significant nucleotide trait associations were identified on all chromosomes except for 4D, of which 163 were considered stable. A total of 112 quantitative trait nucleotide regions (QNRs) were identified of which 47 were presumable novel. QNRs qWSC-3B.2 and qWSC-7A.2 were identified as the hotspots. Post GWAS integration of multiple data resources prioritized 208 putative candidate genes delimited into 64 QNRs, which can be critical in understanding the genetic architecture of stem WSCs accumulation in wheat under optimum and water-stressed environments. At least 19 stable QTNs were found associated with 24 prioritized candidate genes. Clusters of fructans metabolic genes reported in the QNRs qWSC-4A.2 and qWSC-7A.2. These genes can be utilized to bring an optimum combination of various fructans metabolic genes to improve the accumulation and remobilization of stem WSCs and water stress tolerance. These results will further strengthen wheat breeding programs targeting sustainable wheat production under limited water conditions."
Viral RNA Silencing and Plant Immunity,,,,,"""Sugar Beet Cultivation & Efficiency || This topic encompasses research on the cultivation of sugar beet (Beta vulgaris), focusing on strategies to increase its yield, sugar content, and water use efficiency under various stress conditions like water scarcity and soil salinity. Documents cover the effects of irrigation methods, nitrogen and bio-fertilization levels, and the use of foliar applications on the crop's performance across different geographical regions and growing seasons. It aims at improving sugar beet's sucrose yield and overall agricultural sustainability through optimized input use and resistance to environmental stresses.""",Determination of Optimum Irrigation Regime and Water Use Efficiency of Sugar Beet Grown in Pathogen-Infested Soil,"A field experiment was conducted to quantify the effects of different irrigation frequencies on sugar beet yield in pathogen-infested soils. Four irrigation regimes (every 2, 3, 4, and 5 weeks) and four inoculation treatments (beet necrotic yellow vein virus [BNYVV], beet soilborne mosaic virus [BSBMV], BNYVV+BSBMV, and a noninoculated control) were arranged in a split-plot design and replicated four times. Irrigation frequency and virus infection affected disease severity and yield. Sugar beets irrigated every 4 weeks had the lowest disease severity, and yield was not significantly different from the every 2 weeks frequency. Sucrose content was higher for beets in the 4-week irrigation treatment compared with the 2- and 3-week frequencies. Beets inoculated with BNYVV had higher disease severity and lower root yield than beets inoculated with BSBMV and BNYVV+BSBMV. A greenhouse experiment was conducted to evaluate the effect of water level on disease severity and water use in sugar beet. Four treatments (BNYVV, BSBMV, BNYVV+BSBMV, and a noninoculated control) and three water levels (pot capacity [PC], 75% PC, and 50% PC) were arranged in a split-plot design and replicated five times. Pots of each treatment were weighed every other day to determine evapotranspiration. Evaporation was determined from unplanted pots, and plant transpiration was calculated by the difference. Beets irrigated at 75% pot capacity showed minimal disease incidence and a root weight comparable to the fully irrigated healthy control. Plants in the BNYVV treatment had a significantly higher disease severity than beets infected by BSBMV or BNYVV+BSBMV. Root weights and plant water use were significantly affected by virus infection. Beets in the BNYVV+BSBMV treatment had a significantly higher root dry weight and water use than beets in the BNYVV treatment, suggesting that BSBMV reduced the impact of disease caused by BNYVV."
Formation and Function of Plant Cuticles,,,,,"Tomato Cultivation and Pest Control || This topic revolves around the meticulous practices of tomato farming, including the setting of transplants on raised beds of EauGallie fine sand, across multiple documents. The documents detail specific agricultural methods like the use of various polyethylene mulch colors, spacing of plants and rows, and the employment of seepage subirrigation systems. Additionally, they highlight the application of insecticides for combating insect pests, particularly focusing on treatments for silverleaf whitefly and geminivirus. Techniques such as soil fumigation with methyl bromide and chloropicrin blends, and fertilization strategies are also discussed, illustrating a comprehensive approach to tomato cultivation and pest management.","Control of Sweetpotato Whitefly, Tomato Pinworm, and American Serpentine Leafminer on Staked Tomato, Fall 1991","Twelve, 3 ft by 240 ft beds on 6 ft centers were planted with ‘Sunny’ tomatoes spaced 20 inches apart on 22 Oct. Standard cultural practices were followed for staked, seep-irrigated tomatoes in southwest Florida. Dipel 2 X was applied as needed for control of armyworms. Experimental design was randomized complete block with 4 replications. Each block consisted of 3 rows with each replicate plot comprised of 3 rows 23 ft in length. There were 10 treatments plus an unsprayed control. Five weekly applications were made, beginning on 5 Dec. A single boom plot sprayer equipped with drops fitted with Albuz ATR lilac ceramic tips was operated at 400 psi. Each drop had 3 nozzles, for a total of 6 per row. Average delivery per nozzle was 0.194 gal/min; total delivery rate was 54 gal/acre. SPWF and LM immatures, LM stings, and completed mines were monitored weekly with a random sampling of 3 terminal leaflets from three 6th Leaves (from the top) per plot, 1 per row. Leaf area was determined with a leaf area meter to obtain values for SPWF per cm2. Adult SPWF were counted from one, 3-inch sq yellow card trap exposed for 24 hr (one card per row). Fruit was harvested twice, weighted and counted by USDA size categories, culled and checked for TPW damage."
Genomic Studies of Cotton Fiber Development and Improvement,,,,,"Cotton Yield and Stress Research || This topic encompasses various studies focused on cotton (Gossypium hirsutum L.), investigating factors influencing yield, fiber quality, and stress resistance. Research includes field experiments on water stress conditions, drought tolerance, nutrient management, and the effects of specific treatments under different environmental conditions. It aims to improve cotton growth, production efficiency, and adaptability to climate change, emphasizing the development of strategies for sustainable cotton farming.",The Effect of Various Processing Stages During Ginning on Fiber Quality,"This study was conducted to determine the effectiveness, in terms of cleaning efficiency and fiber quality, of the seed cotton cleaning stages installed in cotton gins that process predominately spindle-harvested, irrigated Upland cotton and to determine the effect of the various processing stages during ginning on gin turn out and fiber quality. The study showed that the average amount of trash content present in seed cotton was typically 10%. The seed cotton cleaning process was able to remove 20 to 40% with the remainder of the trash removed by subsequent lint cleaning stages. The study also showed that the gin stand has no influence on fiber quality provided that the gin stand was not overloaded, maintained to manufacturers recommendations, and moisture levels maintained within the recommended levels. Flow-through air lint cleaners had no significant effect on fiber quality with minimal reduction in trash. The controlled-batt saw lint cleaners had positive and significant effects on color and trash; negative effects on length, length uniformity, short fiber and nep content, elongation; and no effect on strength, micronaire, fineness, maturity, number and size of SCN and fiber nep size. The batt-less saw lint cleaners had similar effects on fiber quality, although not as severe. The controlled-batt saw lint cleaners were more aggressive than the batt-less saw lint cleaners and removed more trash and hence achieved a better color grade, with this improvement resulting in notable reductions in lint turn out, fiber length, and increased short fiber and nep content."
Plant Nutrient Uptake and Signaling Pathways,,,,,"Tomato Irrigation & Cultivation Techniques || This topic covers extensive research on the effects of various irrigation techniques, water quality, and fertigation practices on the growth, yield, and quality of tomato plants (Lycopersicon esculentum). It includes studies on drip irrigation, deficit irrigation, the impact of irrigation salinity, and the management of water resources under different environmental conditions. Experiments conducted across multiple locations and years focus on optimizing tomato production through efficient water and nutrient use, highlighting strategies to enhance tomato yield and quality while addressing challenges like blossom-end rot through appropriate calcium fertilization and irrigation management.",Phosphorus (P) improves industrial tomato quality and yield in soil with high phosphorus content,"Soils under intensive and successive cropping with central pivot irrigation tend to present high nutrient contents, especially phosphorus (P), which is a nutrient with a great impact on the yield and quality of agricultural products. Among the rotating crops, the application of high P rates is common in processing tomato, although not supported by research. This work evaluates the effect of phosphate fertilization (0, 200, 400, 600, 800, and 1000 kg ha-1 P2O5) on the yield and quality of industrial tomato ‘Heinz 9553’ grown in a soil with high available P content (145 mg dm-3) resulting of an intensive vegetables cultivation, which have high demand by P. The highest total (127.4 t ha-1) and commercial (108.6 t ha-1) yields were obtained with 413.9 and 384 kg ha-1 P2O5, respectively. The results showed that pH of tomato juice, the percentages of green, red, and commercial fruits were not influenced by the applied P rates. However, nutrient delivery increased the soluble solids content up to 356 kg ha-1 P2O5, which is interesting for tomato processing. After harvesting the fruits, the available soil P content was increased with P supply to the plants. For improvement of commercial yield and soluble solids characteristics, the tomato crop shall be fertilised with P even though the soil has high P content."
Genetics and Cultivation of Bananas,,,,,"Plant Disease Control & Management || This topic encompasses studies on various plant diseases caused by pathogens such as fungi and bacteria, examining their impact on crops like groundnuts, potatoes, and legumes. It covers the identification, impact, and management of diseases like rot, wilt, and blight, highlighting the use of biocontrol agents like Trichoderma and fungicides. Research also explores the effectiveness of bioagents and plant resistance inducers in reducing disease incidence, contributing to sustainable agricultural practices and reduced pesticide dependency.",In vitro Evaluation and Sensitivity of Antibiotics and Fungicides against Xanthomonas axonopodis pv. punicae,"Cultivation of high yielding varieties of pomegranate with intensive care and management in the recent past under irrigated condition with early stage exploitation of plants has lead to certain severe pest and disease problems. Bacterial blight disease of pomegranate caused by Xanthomonas axonopodis pv. punicae is one of the most destructive disease of pomegranate (Punica granatum) inflicting considerable quantitative and qualitative losses. Mostly the disease occurred on leaves, stems and fruits. Extensive agricultural practices along with large amount of pesticide as well as antibiotic are required to control this disease. The antibiotic sensitivity against eight isolates was studied by paper disk inhibition method. Streptomycine sulphate (250ppm) + COC (2500ppm) was significantly superior than all the treatments showing maximum inhibition zone in all eight isolates of Xanthomonas axonopodis pv"
Genetic and Environmental Factors in Berry Production,,,,,"Strawberry Cultivation & Quality || This topic encompasses studies focused on strawberry cultivation methods, including irrigation, fertigation, LED illumination, and the use of biofertilizers like green algae and antitranspirants. Research spans various geographic locations, including the Mediterranean region of Turkey, Korea, Italy, Jordan, and Punjab, India. It touches on the impact of these cultivation practices on fruit yield, quality characteristics like soluble solid content, firmness, and nutrient status, as well as responses to environmental stresses such as salt stress. Additional discussions include the comparison between different growing media and irrigation intervals on strawberry growth and fruit characteristics.",Use of Liquid Foam to Prevent Freeze Injury tO Strawberry Blossoms,"Freezing air temperatures occurring during strawberry blossom time frequently result in complete or partial crop failure. In Indiana there is nearly a 50% probability that such temperatures will occur during the strawberry bloom period. The current practices of using a straw mulch or sprinkler irrigation to prevent blossom freezing are limited by unavailability of material or labor, excessive expense, and frequent failure to provide adequate crop protection."
Symbiotic Nitrogen Fixation in Legumes,,,,,"Rhizobium Inoculation and Legume Performance || This topic covers research on the impact of rhizobium and other beneficial bacteria on the growth, nodulation, and productivity of leguminous crops including beans, cowpea, common bean, faba bean, chickpea, soybean, alfalfa, and peanut. Studies focus on the effects of inoculating crops with strains of rhizobium, mycorrhiza, and other inoculants aimed at fixing nitrogen, enhancing nodulation, improving yield and quality under various environmental conditions, and assessing the economic viability of these biotechnological interventions.",Co-inoculation with Azospirillum brasilense in soybean cultivars subjected to water déficit,"This study aimed to verify the effect of co-inoculation, association between Azospirillum brasilense and Bradyrhizobium japonicum bacteria, on soybean plants subjected to water deficit at two sowing dates. Two field experiments were conducted at the Universidade Federal de Tocantins, campus of Palmas, Brazil, in 2016. The experimental design was randomized blocks in a split-split-plot arrangement with four repetitions, where the plots consisted of two irrigation depths (100 and 25% of crop evapotranspiration - ETc), the subplots was composed of two methods of inoculant application (inoculation with Bradyrhizobium japonicum and co-inoculation with Azospirillum brasilense + Bradyrhizobium japonicum) and the sub-subplots comprised two soybean cultivars (TMG 132 and ANTA 82). The cultivars responded differently to the sowing dates. Co-inoculation did not influence grain yield under full irrigation conditions (100% ETc), in neither cultivar evaluated. However, under the water deficit condition (25% ETc), the grain yield of the cultivar TMG 132 increased 77.20%, indicating that there are different responses of interaction between Azospirillum brasilense, plant genotype and sowing dates."
Impacts of Elevated CO2 and Ozone on Plant Physiology,,,,,"""Climate Change Adaptation in Agriculture || This topic explores various studies on how climate change impacts agriculture across different regions, including Nepal, Ethiopia, Ghana, Bangladesh, Pakistan, and Zimbabwe. It focuses on farmers' perceptions, adaptation strategies to mitigate adverse effects on crop yields and food security, and the economic implications of climate change on farming communities. The studies assess local practices, socio-economic factors influencing adaptation, and the overall vulnerability of agriculture to changing climate conditions, emphasizing the importance of tailored strategies to sustain agricultural productivity.""","Impact of elevated carbon dioxide and temperature on wheat production under sub temperate climate in north western Himalayas, India","Wheat is the second most important cereal crop and plays a key role in food and nutritional security. The study examines the impact of elevated carbon dioxide and temperature under limited irrigations on wheat crop using crop growth simulation models under sub temperate climate. The Info Crop model was validated using the historical data generated by the research trials of All India Coordinated Research Improvement Project at Palampur, Himachal Pradesh. The model was run for 20 years from 1991 to 2010 for Palampur weather station. The results revealed 3.6 to 4.0 percent and 1.7 to 7.5 percent increase in simulated crop yield with 420 and 470 ppm CO2 respectively. The elevated maximum and minimum temperature by 1 and 20C with 370 ppm carbon dioxide reduced the anthesis period by 5-7 and 9-11 days respectively over the sowing window of November 15th to December 30th. Similarly, days to maturity also reduced by 4-5 and 7-8 days with 1 and 20C rise in temperature respectively. The simulated crop yield showed increase by 17.9 to 63.0 and 33.2 to 133.4 percent with 1 and 20C rise in temperature at 370 ppm CO2 under limited irrigations. The simulated grain yield at 420 ppm CO2 showed an increase of 23 to 69.7 percent with 10C and 39.5 to 123.5 percent with 20C whereas at 470 ppm CO2 level the increase was 27.9 to 76.1 at 10C and 46.4 to 133.0 percent with 20C rise in maximum and minimum temperatures respectively. Hence, simulated results of elevated temperature and CO2 levels proved to be beneficial in rabi wheat with adaptations strategy of limited irrigations under sub temperate climate of North Western Himalayas"
Genetic Diversity and Improvement of Soybean,,,,,"Soybean Water Stress Management || This topic explores diverse strategies and research findings on managing water stress in soybean cultivation, addressing the impacts of climatic changes on yield and quality. Studies include field experiments on irrigation regimes, the effects of mineral and alternative fertilizations, and genotype evaluations under varied water conditions. Emphasis is given to improving resilience and productivity of soybean (Glycine max L. Merr.) through innovative agricultural practices, aiming to sustain its vital role as a source of proteins and oils under changing environmental stressors.",Effects of Irrigation and Planting Geometry on Soybean (Glycine max L.) Seed Nutrition in Humid Climates,"This study investigates the effect of irrigation (FI, all rows-irrigation; HI, alternate row irrigation; RF, rainfed) and planting geometry (PG) (SR, single-row; TR, twin-row) on soybean seed constituents. Results showed that most of these seed components were significantly affected by crop season due to contrasting precipitation and solar radiation patterns, particularly during July-August, coinciding with early reproductive and seed development stages. Both seed protein and oil levels responded positively to irrigation, while most of the amino acids were nonresponsive. The protein content ranged between 36.3 and 37.6% in 2018, while it was between 36.4 and 38.3% in 2019. Among amino acids, glycine, alanine, valine, and methionine levels were significantly higher in both FI and HI treatments. Among sugars, only sucrose was higher in response to the RF treatment, and irrigation did not affect both stachyose and raffinose. Oleic acid was higher in RF, while no significant differences were observed for linolenic and linoleic acids. Similarly, seasonal variation was significant for stearic acid content, but the 2019 season had relatively higher accumulation (stearic acid: between 4.1 and 4.5% in 2018 and from 4.6 to 4.9% in 2019). These results indicate that both irrigation and climate during seed development can alter some seed composition constituents and play critical roles in determining seed nutritional qualities."
Safflower and Sunflower Cultivation and Utilization,,,,,"Sunflower and Safflower Cultivation || This topic encompasses studies and experiments focused on the cultivation of sunflower (Helianthus annuus) and safflower, examining various aspects such as irrigation, nitrogen management, drought stress, and the application of hormones to improve seed yield and oil content. Research is conducted across different geographical locations, including experimental farms and universities, to identify the best agricultural practices and genotypes for enhancing crop productivity under both irrigated and rainfed conditions.",Quantitative and Qualitative Traits of Sunflower Genotypes as Influenced by Nitrogen Application through Fertigation,"P akistan is facing acute shortage of edible oil.The demand for edible oil in Pakistan is increasing with the uncontrollable increase in population.Its indigenous production is below the consumption levels with a very wide gap between production and consumption.This gap is bridged through import of edible oil worth more than Rs.45.0 billion annually.Pakistan ranks 3 rd largest edible oil importing country in the world (GoP, 2020).The country's oil requirement was about 2.966 million tons in which 0.83 million tons (28%) were locally produced and the rest edible oil was imported.The edible oil requirements have increased from 0.3 million tons to 1.95 million tons.But the domestic production of edible oil has remained inadequate and fluctuating for the last couple of decades.These fluctuations are due to indigenous marketing, low support price and high cost of production which is making these crops non-profitable to Abstract | Fertigation is the application of dissolved fertilizer especially nitrogen through irrigation for correcting nutrient deficiencies of plants.A field study was conducted in Tandojam for two consecutive years in autumn 2018 and 2019.The experiment was replicated thrice in randomized complete block design.Different doses of nitrogen as broadcasting and fertigation (0, 75, 100, 125 kg N ha -1 in two and three equal splits given at sowing time, 1 st , 2 nd and 3 rd irrigations, respectively) were applied to two sunflower genotypes (HO-1 and Hysun-39).Data analysis revealed nitrogen fertigation, genotypes and their interaction substantially (P≤0.05)affected growth and yield traits of sunflower.Greater seed yield (kg ha -1 ) and the oil content (%) were documented in N 10 = 125 kg N ha -1 : three splits (? broadcasting at sowing time + fertigation-? at 1 st and ? at 3 rd irrigation), followed by N 8 = 125 kg N ha -1 : two splits (? broadcasting at sowing time + ? as fertigation at 2 nd irrigation).In between genotypes, higher seed yield (kg ha -1 ) and oil content (%) were recorded in HO-1 as compared to Hysun-39.As regards interactions, enhanced seed yield (kg ha -1 ) and oil content (%) were registered in the interaction of N 10 = 125 kg N ha -1 : three splits (? broadcast at sowing time + fertigation-? at 1 st and ? at 3 rd irrigation) ? HO-1.It was concluded from the results that nitrogen dose should be divided into three splits and applied at sowing time through broadcasting and fertigated at 1 st and 2 nd irrigation, respectively."
Molecular Mechanisms of Plant Development and Regulation,,,,,"Gene Expression & Stress Tolerance || This topic explores the molecular mechanisms behind plant responses to various abiotic stresses, including drought, salinity, and cold. It focuses on the role of gene expression, abscisic acid (ABA) signaling, and the identification of differentially expressed genes and mechanisms that confer drought tolerance. Studies examine transgenic plants, natural genetic variation, and the impact of external factors like soil salinity and microbial interactions on gene expression patterns, highlighting advances in understanding and improving plant stress tolerance.",Transcripts and MicroRNAs Responding to Salt Stress in Musa acuminata Colla (AAA Group) cv. Berangan Roots,"Physiological responses to stress are controlled by expression of a large number of genes, many of which are regulated by microRNAs. Since most banana cultivars are salt-sensitive, improved understanding of genetic regulation of salt induced stress responses in banana can support future crop management and improvement in the face of increasing soil salinity related to irrigation and climate change. In this study we focused on determining miRNA and their targets that respond to NaCl exposure and used transcriptome sequencing of RNA and small RNA from control and NaCl-treated banana roots to assemble a cultivar-specific reference transcriptome and identify orthologous and Musa-specific miRNA responding to salinity. We observed that, banana roots responded to salinity stress with changes in expression for a large number of genes (9.5% of 31,390 expressed unigenes) and reduction in levels of many miRNA, including several novel miRNA and banana-specific miRNA-target pairs. Banana roots expressed a unique set of orthologous and Musa-specific miRNAs of which 59 respond to salt stress in a dose-dependent manner. Gene expression patterns of miRNA compared with those of their predicted mRNA targets indicated that a majority of the differentially expressed miRNAs were down-regulated in response to increased salinity, allowing increased expression of targets involved in diverse biological processes including stress signaling, stress defence, transport, cellular homeostasis, metabolism and other stress-related functions. This study may contribute to the understanding of gene regulation and abiotic stress response of roots and the high-throughput sequencing data sets generated may serve as important resources related to salt tolerance traits for functional genomic studies and genetic improvement in banana."
