OA_Topic,match_with_OA,which_is_better,comment_OA,comment_OG,38_gpt4,Title,Abstract
Genetics and Cultivation of Bananas,,,,,"Trichoderma in Biocontrol and Agriculture || This topic revolves around the study of Trichoderma spp. as a potent biological control agent in agriculture, focusing on its effectiveness against pathogens like Rhizoctonia solani, Sclerotinia sclerotiorum, and Phytophthora cinnamomi. Research spans from greenhouse trials to field application, evaluating Trichoderma strains for disease management in crops such as oilseed rape, peanut, wheat, soybean, faba bean, and avocado, aiming at reducing fungicide use through biocontrol methods for sustainable agricultural practices.",In vitro Evaluation and Sensitivity of Antibiotics and Fungicides against Xanthomonas axonopodis pv. punicae,"Cultivation of high yielding varieties of pomegranate with intensive care and management in the recent past under irrigated condition with early stage exploitation of plants has lead to certain severe pest and disease problems. Bacterial blight disease of pomegranate caused by Xanthomonas axonopodis pv. punicae is one of the most destructive disease of pomegranate (Punica granatum) inflicting considerable quantitative and qualitative losses. Mostly the disease occurred on leaves, stems and fruits. Extensive agricultural practices along with large amount of pesticide as well as antibiotic are required to control this disease. The antibiotic sensitivity against eight isolates was studied by paper disk inhibition method. Streptomycine sulphate (250ppm) + COC (2500ppm) was significantly superior than all the treatments showing maximum inhibition zone in all eight isolates of Xanthomonas axonopodis pv"
Genetic and Environmental Factors in Berry Production,,,,,"Berry Cultivation Enhancements || This topic encompasses various studies on improving berry production, specifically strawberries and blueberries, through optimized fertigation, mulching, irrigation, and organic practices. It covers the effects of different cultivation techniques on plant growth, yield, nutrient content, and fruit quality under varying conditions, including greenhouse environments and soilless media. Studies also explore the effectiveness of LED lighting and eco-friendly watering systems, aiming to enhance sustainability and efficiency in berry farming.",Use of Liquid Foam to Prevent Freeze Injury tO Strawberry Blossoms,"Freezing air temperatures occurring during strawberry blossom time frequently result in complete or partial crop failure. In Indiana there is nearly a 50% probability that such temperatures will occur during the strawberry bloom period. The current practices of using a straw mulch or sprinkler irrigation to prevent blossom freezing are limited by unavailability of material or labor, excessive expense, and frequent failure to provide adequate crop protection."
Symbiotic Nitrogen Fixation in Legumes,,,,,"Crop Enhancement Through Inoculation || This topic explores the application of various bacterial inoculants, such as Rhizobium, Azospirillum brasilense, Bradyrhizobium japonicum, and mycorrhiza, to enhance the growth, yield, and nodulation of leguminous crops like soybean and peanut under different environmental stresses and irrigation conditions. Studies discuss the effects of co-inoculation techniques, the interaction with inorganic fertilizers like DAP, and the efficacy of these biofertilizers in sustainable agriculture practices, aiming at reducing chemical inputs while sustaining crop production for smallholders.",Co-inoculation with Azospirillum brasilense in soybean cultivars subjected to water déficit,"This study aimed to verify the effect of co-inoculation, association between Azospirillum brasilense and Bradyrhizobium japonicum bacteria, on soybean plants subjected to water deficit at two sowing dates. Two field experiments were conducted at the Universidade Federal de Tocantins, campus of Palmas, Brazil, in 2016. The experimental design was randomized blocks in a split-split-plot arrangement with four repetitions, where the plots consisted of two irrigation depths (100 and 25% of crop evapotranspiration - ETc), the subplots was composed of two methods of inoculant application (inoculation with Bradyrhizobium japonicum and co-inoculation with Azospirillum brasilense + Bradyrhizobium japonicum) and the sub-subplots comprised two soybean cultivars (TMG 132 and ANTA 82). The cultivars responded differently to the sowing dates. Co-inoculation did not influence grain yield under full irrigation conditions (100% ETc), in neither cultivar evaluated. However, under the water deficit condition (25% ETc), the grain yield of the cultivar TMG 132 increased 77.20%, indicating that there are different responses of interaction between Azospirillum brasilense, plant genotype and sowing dates."
Impacts of Elevated CO2 and Ozone on Plant Physiology,,,,,"Climate Change & Wheat Yield || The topic explores the intricate relationship between changing climate conditions and wheat production globally. Documents review factors like temperature, rainfall, and CO2 levels impacting wheat yields, employing models and regional studies. Key focuses include the efficacy of agro-ecological zoning, effects of climate variables on irrigated wheat, and adaptation strategies in diverse regions from the Lower Yellow River in China to southern Portugal and Ethiopia. The research aims to guide sustainable agricultural practices and policy planning amid climatic uncertainties affecting this essential food crop.","Impact of elevated carbon dioxide and temperature on wheat production under sub temperate climate in north western Himalayas, India","Wheat is the second most important cereal crop and plays a key role in food and nutritional security. The study examines the impact of elevated carbon dioxide and temperature under limited irrigations on wheat crop using crop growth simulation models under sub temperate climate. The Info Crop model was validated using the historical data generated by the research trials of All India Coordinated Research Improvement Project at Palampur, Himachal Pradesh. The model was run for 20 years from 1991 to 2010 for Palampur weather station. The results revealed 3.6 to 4.0 percent and 1.7 to 7.5 percent increase in simulated crop yield with 420 and 470 ppm CO2 respectively. The elevated maximum and minimum temperature by 1 and 20C with 370 ppm carbon dioxide reduced the anthesis period by 5-7 and 9-11 days respectively over the sowing window of November 15th to December 30th. Similarly, days to maturity also reduced by 4-5 and 7-8 days with 1 and 20C rise in temperature respectively. The simulated crop yield showed increase by 17.9 to 63.0 and 33.2 to 133.4 percent with 1 and 20C rise in temperature at 370 ppm CO2 under limited irrigations. The simulated grain yield at 420 ppm CO2 showed an increase of 23 to 69.7 percent with 10C and 39.5 to 123.5 percent with 20C whereas at 470 ppm CO2 level the increase was 27.9 to 76.1 at 10C and 46.4 to 133.0 percent with 20C rise in maximum and minimum temperatures respectively. Hence, simulated results of elevated temperature and CO2 levels proved to be beneficial in rabi wheat with adaptations strategy of limited irrigations under sub temperate climate of North Western Himalayas"
Genetic Diversity and Improvement of Soybean,,,,,"Soybean Water Stress Management || This topic centers around various studies and experiments addressing the management of water stress in soybeans (Glycine max L. Merr.), focusing on cultivation practices aimed at improving yield and stress tolerance. Research spans early planting systems, irrigation timing, the impact of drought, and the role of exogenous treatments in drought-prone areas. It explores innovative strategies like deficit irrigation, use of osmoprotectants, and adjustments in fertilizer use to enhance soybean resilience against climatic challenges, thereby aiming to secure food production of this vital crop under varying water conditions.",Effects of Irrigation and Planting Geometry on Soybean (Glycine max L.) Seed Nutrition in Humid Climates,"This study investigates the effect of irrigation (FI, all rows-irrigation; HI, alternate row irrigation; RF, rainfed) and planting geometry (PG) (SR, single-row; TR, twin-row) on soybean seed constituents. Results showed that most of these seed components were significantly affected by crop season due to contrasting precipitation and solar radiation patterns, particularly during July-August, coinciding with early reproductive and seed development stages. Both seed protein and oil levels responded positively to irrigation, while most of the amino acids were nonresponsive. The protein content ranged between 36.3 and 37.6% in 2018, while it was between 36.4 and 38.3% in 2019. Among amino acids, glycine, alanine, valine, and methionine levels were significantly higher in both FI and HI treatments. Among sugars, only sucrose was higher in response to the RF treatment, and irrigation did not affect both stachyose and raffinose. Oleic acid was higher in RF, while no significant differences were observed for linolenic and linoleic acids. Similarly, seasonal variation was significant for stearic acid content, but the 2019 season had relatively higher accumulation (stearic acid: between 4.1 and 4.5% in 2018 and from 4.6 to 4.9% in 2019). These results indicate that both irrigation and climate during seed development can alter some seed composition constituents and play critical roles in determining seed nutritional qualities."
Safflower and Sunflower Cultivation and Utilization,,,,,"Crop Water Management and Yield || This topic explores the impact of water management, drought stress, and the application of growth hormones on the yield and quality of sunflower (Helianthus annuus) and safflower (Carthamus tinctorius) crops. Studies conducted between 2010 and 2020 across various regions, including Iran and Pakistan, investigate irrigation schedules, foliar spray effects, and the genetic response of these oilseed crops under different water conditions, aiming to enhance production efficiency amidst increasing edible oil demands and water scarcity.",Quantitative and Qualitative Traits of Sunflower Genotypes as Influenced by Nitrogen Application through Fertigation,"P akistan is facing acute shortage of edible oil.The demand for edible oil in Pakistan is increasing with the uncontrollable increase in population.Its indigenous production is below the consumption levels with a very wide gap between production and consumption.This gap is bridged through import of edible oil worth more than Rs.45.0 billion annually.Pakistan ranks 3 rd largest edible oil importing country in the world (GoP, 2020).The country's oil requirement was about 2.966 million tons in which 0.83 million tons (28%) were locally produced and the rest edible oil was imported.The edible oil requirements have increased from 0.3 million tons to 1.95 million tons.But the domestic production of edible oil has remained inadequate and fluctuating for the last couple of decades.These fluctuations are due to indigenous marketing, low support price and high cost of production which is making these crops non-profitable to Abstract | Fertigation is the application of dissolved fertilizer especially nitrogen through irrigation for correcting nutrient deficiencies of plants.A field study was conducted in Tandojam for two consecutive years in autumn 2018 and 2019.The experiment was replicated thrice in randomized complete block design.Different doses of nitrogen as broadcasting and fertigation (0, 75, 100, 125 kg N ha -1 in two and three equal splits given at sowing time, 1 st , 2 nd and 3 rd irrigations, respectively) were applied to two sunflower genotypes (HO-1 and Hysun-39).Data analysis revealed nitrogen fertigation, genotypes and their interaction substantially (P?0.05)affected growth and yield traits of sunflower.Greater seed yield (kg ha -1 ) and the oil content (%) were documented in N 10 = 125 kg N ha -1 : three splits (? broadcasting at sowing time + fertigation-? at 1 st and ? at 3 rd irrigation), followed by N 8 = 125 kg N ha -1 : two splits (½ broadcasting at sowing time + ½ as fertigation at 2 nd irrigation).In between genotypes, higher seed yield (kg ha -1 ) and oil content (%) were recorded in HO-1 as compared to Hysun-39.As regards interactions, enhanced seed yield (kg ha -1 ) and oil content (%) were registered in the interaction of N 10 = 125 kg N ha -1 : three splits (? broadcast at sowing time + fertigation-? at 1 st and ? at 3 rd irrigation) × HO-1.It was concluded from the results that nitrogen dose should be divided into three splits and applied at sowing time through broadcasting and fertigated at 1 st and 2 nd irrigation, respectively."
Molecular Mechanisms of Plant Development and Regulation,,,,,"""Plant Stress Response Genomics || This topic explores the effects of various environmental stresses, such as drought, salinity, and magnesium deficiency, on the molecular responses of different plants, including sugarcane, peach, physic nut, date palm, petunia, banana, peanut, and cotton. Focusing on transcriptome and RNA sequencing, it delves into how these stresses impact gene expression in leaves and roots, shedding light on the plants' adaptive mechanisms and resilience against challenging environmental conditions.""",Transcripts and MicroRNAs Responding to Salt Stress in Musa acuminata Colla (AAA Group) cv. Berangan Roots,"Physiological responses to stress are controlled by expression of a large number of genes, many of which are regulated by microRNAs. Since most banana cultivars are salt-sensitive, improved understanding of genetic regulation of salt induced stress responses in banana can support future crop management and improvement in the face of increasing soil salinity related to irrigation and climate change. In this study we focused on determining miRNA and their targets that respond to NaCl exposure and used transcriptome sequencing of RNA and small RNA from control and NaCl-treated banana roots to assemble a cultivar-specific reference transcriptome and identify orthologous and Musa-specific miRNA responding to salinity. We observed that, banana roots responded to salinity stress with changes in expression for a large number of genes (9.5% of 31,390 expressed unigenes) and reduction in levels of many miRNA, including several novel miRNA and banana-specific miRNA-target pairs. Banana roots expressed a unique set of orthologous and Musa-specific miRNAs of which 59 respond to salt stress in a dose-dependent manner. Gene expression patterns of miRNA compared with those of their predicted mRNA targets indicated that a majority of the differentially expressed miRNAs were down-regulated in response to increased salinity, allowing increased expression of targets involved in diverse biological processes including stress signaling, stress defence, transport, cellular homeostasis, metabolism and other stress-related functions. This study may contribute to the understanding of gene regulation and abiotic stress response of roots and the high-throughput sequencing data sets generated may serve as important resources related to salt tolerance traits for functional genomic studies and genetic improvement in banana."
Genetic and Agricultural Studies of Sugarcane,,,,,"Sugar Beet Cultivation Research || Studies across various locations in Egypt focus on assessing the effects of water stress, fertilization methods, planting techniques, and additives like alga extract on the growth, yield, and sugar content of sugar beet (Beta vulgaris). Experiments cover factors like irrigation levels, organic versus mineral fertilizers, drought tolerance of different beet varieties, and soil fertility impacts. The overall goal is to enhance sugar beet productivity and quality under environmental stresses and agricultural management practices.",Root and Sucrose Yields of Sugarbeets as Affected by Mid- to Late-Season Water Stress,"Investigations of the irrigation water requirement of sugarbeets(Beta vulgaris L.) in Arizona and California have shownthat water stress several weeks before harvest of fall-planted beetsreduces root yields but increases sucrose concentration (2,3).Their studies showed that, since soil and plant water stress latein the season did not significantly reduce sucrose production,irrigations could be discontinued 3 to 4 weeks before harvest formaximum water economy. Mid- to late-season water deficit studieson spring-planted sugarbeets at this Center in 1977 and 1978clearly showed that sucrose yield was reduced very little in thisarea, if at all, if irrigations were discontinued after the soilprofile was filled with water about 1 August or 10 to 12 weeksbefore harvest, on soil having a useable soil water reservoir ofat least 200 mm (1) . However, if no rainfall occurs, a lightirrigation about 1 month after water cutoff may be advantageous.The major difference between these two areas (Arizona-Californiaand Idaho) is that in Arizona and California, potential evapotranspirationrates are higher and increasing when fall-plantedbeets are harvested; whereas in Idaho, potential rates are lowerand decreasing when spring-planted beets are harvested. Allowingmid- to late-season water stress to develop in the Idaho areareduces irrigation water requirements by about 30% during August,September, and October when irrigation water and hydro-electricpower for pumping are in shortest supply. Other recent investigationsalso show the drought tolerance of sugarbeets throughoutthe growing season ( 8, 11)."
Urban Agriculture and Community Development,,,,,"Climate Change Adaptation Strategies || This topic explores various studies focused on understanding how smallholder farmers across different regions, particularly in Ethiopia, Ghana, and Nigeria, adapt to climate change and variability. These studies examine factors influencing adaptation choices, measure the perception of climate change among farmers, and evaluate the effectiveness of different adaptation strategies, such as mixed cropping, changing crop varieties, and homegarden agroforestry. The research primarily uses descriptive statistics and econometric models, like the multinomial logit model, to analyze data collected through surveys and questionnaires.","Role of Homegarden Agroforestry Practice in Climate Change Adaptation in Aleta Chuko Woreda, Sidama Region, Southern Ethiopia","Indeed, the adverse effects of climate change are already evident in resource poor countries including Ethiopia.Southern Ethiopia is known with favorable environment for homegarden agroforestry (HGAF) Production practices.This study aimed at examining the role of HGAF practice in climate change adaptation in Aleta Chuko woreda, Southern Ethiopia.Multistage sampling procedures have used to select sample households.Data were collected from adopter and non-adopter categories of HGAF practice with similar socioeconomic background.A total of 141 households (68 adopters and 73 nonadopter) were involved in the household survey.The result revealed about 95% of the respondents observed the change in rainfall in the past three decades, whether decrease, late-onset or early cessation.While 87.3% of respondents perceived an increase in temperature.Farmers' adaptation strategies to climate change in the area context were soil and water conservation, application of inorganic fertilizer, use of small-scale irrigation and improved crop type were the tactical responses to climate change adaptation in the two adoption categories.It revealed that adoption of HGAF practice exhibit significance difference in terms of adaptation of climate change and sustaining of food security among the two adoption categories.From the result of analysis, access to credit and extension service, educational status, family size and membership of cooperative group shows statistically significant association in adoption of HGAF practices.The study concludes that policies that prioritize interventions to maximize the opportunities for climate change adaptation through HGAF system should been established in the context of the area."
Plant Pathology and Resistance to Fungal Diseases,,,,,"Common Bean Water Efficiency || This topic encompasses a series of studies focused on the Phaseolus vulgaris, or common bean, highlighting various agronomic practices to enhance productivity, water use efficiency, and nutritional quality. Research includes the effects of sowing dates, irrigation methods, nutrient management, and the impact of phosphorus and sulfur fertilizers on yield traits. Experiments took place across diverse locations from Ethiopia to India, addressing challenges such as water scarcity, soil fertility, and optimizing agronomic practices for improved bean cultivation.",EFFECT OF SPRINKLER IRRIGATION AND COOLING ON YIELD AND QUALITY OF SNAP BEANS,"High temperatures and dry soil conditions that frequently occur in southern Alberta during July and August may cause objectionably high fiber content of snap beans (Phaseolus vulgaris L.). During the period 1968–71, the response of bean yield and quality to cooling by low-volume sprinkler irrigation during hot weather at the time of pod development was studied. Low-volume sprinkling for cooling prevented undesirable fiber formation and alleviated, to some extent, soil moisture stress. Where soil moisture was returned to field capacity by irrigation at 7- to 10-day intervals, yield and quality also remained high without low-volume sprinkler cooling. Thus, under Alberta conditions, excess fiber formation appears to be closely related to the amount of available soil moisture and can be avoided by proper irrigation with conventional methods."
Biodiversity of Vascular Plants in Korea,,,,,"""Wastewater Treatment and Reuse || This topic explores the various methods and impacts of treating and reusing wastewater for agricultural and environmental purposes. It includes studies on Moringa seeds for wastewater treatment, the use of treated wastewater on different crop species, and the evaluation of municipal wastewater's role in irrigation. Research spans across different regions, focusing on the chemical and microbial properties of treated versus untreated wastewater, its effect on soil and plant health, and the potential for sustainable agriculture in water-scarce areas.""",Selection of Aquatic Plants Having High Uptake Ability of Pollutants in Raw Sewage Treatment,"Excess runoff contaminated with N and P can impact the quality of downstream water. It has been known that aquatic plants improve the water quality through their intake of organic or inorganic nutrients. This study was conducted to select aquatic plants having high purification ability for nutrient N and P, and mineral nutrients related to EC such as K, Ca, Na, Cl, and $SO_4$ in raw sewage water in greenhouse. We assessed nutrient phytoremediation potential of alien hydrophyte and hydro-crop as well as native landscape hydrophyte to select suitable aquatic plant applied to artificial wetland and buffering site of stream-side. The amount of irrigation water during whole growing period of aquatic plane ranged from 225 L $m^{-2}$ to 444 L $m^{-2}$. indutum which had high biomass consumed the large amount of irrigation water over 350 L $m^{-2}$. As a result of analysis of water purification effect N and P content of shoot biomass, and media soil after experiment, Oryza sativa, Zizania latifolia, Aster subulatus, Coix lachryma-jobi var. indutum showed high purification ability about eutrophication elements such as T-N and T-P. It is presented that Pistia stratiotes, Eichhornia crassipes, and Paspalum distichum var. indutum had excellent purification ability about K, Ca, Na, and Cl. indutum greatly removed $SO_4$ in row sewage water."
Cultivar Evaluation and Mega-Environment Investigation,,,,,"Wheat Drought and Heat Tolerance || Studies across various global regions focus on evaluating wheat (Triticum aestivum L.) genotypes for drought and heat tolerance. Different methodologies, including genetic crossing, stress tolerance indices, and irrigation treatments, are applied to identify genotypes with high yield potential under environmental stress. Keywords like GMP, MP, STI, and TOL highlight aspects of mean productivity and stress tolerance, crucial for developing durable wheat cultivars capable of withstanding climatic challenges.",Screening Wheat Genotypes for Coleoptile Length: A Trait for Drought Tolerance,"The study was conducted during Rabi season of 2013-14 at the Wheat Research Centre (WRC), Bangladesh Agricultural Research Institute (BARI), Dinajpur.Thirty wheat genotypes including local control BARI Gom 26 were evaluated in split-split plot design having two replications with irrigation in the main plot, seeding depth in a sub-plot and genotype was in sub-sub-plot.The main objective of this study was to evaluate new exotic lines against drought, with emphasis on coleoptile length under Bangladeshi conditions, and to identify drought tolerant germplasm.To measure potential coleoptile length (CL), disease free, healthy, uniform seeds were sown in wooden trays with sandy soil in a temperature controlled room at 200 degree days (20 o c X 10 days).The genotypes were evaluated for yield, and yield components i.e., plant establishment, plant height (cm), spikes per m 2 , grains per Spike, 1000-grain weight (g) and visual grain quality.Selection of genotypes was based on Schneider's stress severity index (SSSI), yield under drought condition and coleoptiles length.Deep seeding over normal seeding had a significant effect on yield and the yield components, as did water stress.The interaction of the two factors showed that seeding depth causes more yield loss than irrigation.More traits showed significant relationships in deep seeding conditions than normal conditions, meaning that there is greater scope for screening wheat using sowing depth.Based on higher negative value of SSSI and higher yield in deep sowing conditions the genotypes G 16, G 13, G 12, G 24, G 2, G 18, G 19 and G 3 were primarily selected for drought tolerance and will be evaluated further for advanced studies.These genotypes also have longer coleoptiles ranging from 7.4 to 10.5 cm."
Genomics and Breeding of Legume Crops,,,,,"Dry Bean Cultivation Research || This topic encompasses diverse studies and developments in the field of dry bean (Phaseolus vulgaris L. and Vicia faba L.) cultivation, focusing on traits like yield, growth habit, and disease resistance. Specifically, it highlights varieties developed or tested in Alberta, Canada, each with unique properties such as maturation rates, adaptation to specific agro-ecological zones, and potential for improved agricultural practices. These documents represent contributions to the ongoing efforts to enhance dry bean production in response to agricultural challenges and market demands.",Performance of newly developed faba bean (Vicia faba) varieties in different agro-ecological condition of Eastern India,"Two varieties, the Swarana Suraksha and Swarana Gaurav of faba bean (Vicia faba L.), developed at ICAR Research Complex for Eastern Region, Patna; were evaluated against check variety Vikrant, for its suitability under different agro-ecological conditions of Eastern region of India. Performance evaluations were done at multilocation in eastern Indo Gangetic plains of Bihar; semiarid saline condition of Uttar Pradesh and in the acidic condition of hills and plateau region of Jharkhand. The multiplication testing was conducted during 2013-14 to 2015-16. Significantly higher yields of 3.03 t/ha and 4.32 t/ha were recorded with Swarana Suraksha while 2.31 t/ha and 4.91 t/ha for Swarana Gaurav under rainfed and irrigated conditions, respectively. Location wise significantly maximum seed yield of 3.61 t/ha was recorded at IARI, Pusa and the corresponding minimum of 2.33 t/ha was recorded at ICAR Ranchi centre. Individually, under irrigated condition, Swarana Gaurav produced significantly higher yield of 5.57 t/ha at IARI, Pusa. Swarana Suraksha was found suitable for both, rainfed and irrigated conditions; whereas Swarana Gaurav was suitable for irrigated condition. These two varieties are already been notified by the Cenral Varietal Release Committee for its cultivation in Bihar; but both the varieties could be recommended for its cultivation in Eastern states. Currently, both the developed varieties are under multiplication at ICAR Research complex for Eastern Region, Patna, right from 2015-16 onwards to introduce in seed chain by 2020-21."
Factors Influencing Fruit Ripening and Quality,,,,,"Tomato Growth and Irrigation Studies || This topic covers extensive research on the cultivation of tomatoes (Solanum lycopersicum L.), focusing on different aspects such as grafting, irrigation techniques (including partial-root zone drying, deficit irrigation, and drip irrigation), fertilizer rates, and other growing conditions. Investigations include the impact of these variables on tomato yield, water-use efficiency, fruit quality, and the management of environmental factors like soil quality and water salinity. The studies aim to find sustainable and efficient agricultural practices for enhancing tomato production under various environmental conditions.","Combined Effects of Irrigation Regime, Genotype, and Harvest Stage Determine Tomato Fruit Quality and Aptitude for Processing into Puree","Industry tomatoes are produced under a range of climatic conditions and practices which significantly impact on main quality traits of harvested fruits. However, the quality of tomato intended for processing is currently addressed on delivery through color and Brix only, whereas other traits are overlooked. Very few works provided an integrated view of the management of tomato puree quality throughout the chain. To gain insights into pre- and post-harvest interactions, four genotypes, two water regimes, three maturity stages, and two processes were investigated. Field and glasshouse experiments were conducted near Avignon, France, from May to August 2016. Two irrigation regimes were applied: control plants were irrigated in order to match 100% of evapotranspiration (ETP); water deficit (WD) plants were irrigated as control plants until anthesis of the first flowers, then irrigation was reduced to 60 and 50% ETP in field, and glasshouse respectively. Fruits were collected at three stages during ripening. Their color, fresh weight, dry matter content, and metabolite contents were determined before processing. Pericarp cell size was evaluated in glasshouse only. Two laboratory-scaled processing methods were applied before structural and biochemical analyses of the purees. Results outlined interactive effects between crop and process management. WD hardly reduced yield, but increased dry matter content in the field, in contrast to the glasshouse. The puree viscosity strongly depended on the genotype and the maturity stage, but it was disconnected from fruit dry matter content or Brix. The process impact on puree viscosity strongly depended on water supply during fruit production. Moreover, the lycopene content of fresh fruit may influence puree viscosity. This work opens new perspectives for managing puree quality in the field showing that it was possible to reduce water supply without affecting yield and to improve puree quality."
Role of Silicon in Plant Biology and Ecology,,,,,"""Silicon in Plant Stress Mitigation || This topic explores the role of silicon (Si) in enhancing plant resilience against various biotic and abiotic stresses, with a focus on its beneficial effects across different species, including both Si-accumulating and non-accumulating plants. Studies cover Si's impact on growth, physiological traits, and productivity under conditions such as drought, salinity, and other environmental stresses. The research spans various application methods of silicon, including foliar sprays and soil amendments, aiming to evaluate its efficacy in stress mitigation and overall plant health improvement.""",Irrigation water salinity and silicon negatively interfere with the physiology and delay the flowering of ornamental sunflowers,"Although silicon is considered a non-essential element for plants, its application can mitigate the harmful effects of salt stress. In this sense, the objective was to evaluate the physiological and flowering responses of ornamentalsunflower depending on the application of silicon and irrigation with saline water. The experiment was carried out in a greenhouse in a completely randomized design with six replications, in a 4 x 5 factorial scheme, referring to four electrical conductivities of irrigation water (ECw): 0.5; 1.5; 2.5 and 3.5 dS m-1 and silicon doses: 0, 50, 100, 150 and 200 mg L-1, with potassium silicate as the source. The following were evaluated: internal carbon concentration, transpiration, rate of liquid photosynthesis, instant efficiency of carboxylation, leaf indexes of chlorophyll a, b, chlorophyll a/b ratio, total chlorophyll, external and internal diameter of the chapter, number of petals, appearance of floral bud, beginning of flowering and full opening of the floral bud. Salinity negatively affects photosynthetic activity and flowering of ornamental sunflower plants, so that plants irrigated with saline water (3.5 dS m-1) delayed the appearance of the flower bud, the flowering index and the total opening of the floral button. The application of silicon in ornamental sunflower plants is not effective to mitigate the deleterious effects of salinity on the plant’s physiology. In addition, the addition of silicon is also not able to repair the losses in terms of flowering caused by salt stress in the species."
Mechanism of Plant Growth Regulation,,,,,"Essential Oil Agronomy Research || This topic encompasses studies on the effect of various agricultural practices such as irrigation, drought stress, and the use of fertilizers and soil amendments on the yield, content, and chemical composition of essential oils derived from medicinal plants. The research explores how environmental conditions, water management, and nutritional inputs affect the bioactive constituents of plants like Aloysia triphylla, German chamomile, mint, and others, aiming at optimizing agronomic techniques for enhanced essential oil production.","Irrigation Intervals Capacity and Acorbic Acid Treatments on Optimize Growth, and Chemical Constituents of Tecoma Capensis L. Plants","The present study was carried out at the Ornamental Horticulture Department, Faculty of Agriculture, Cairo University, Giza, during the two successive seasons of 2014 and 2015 in order to enhancement the growth of Tecoma plants grown under different concentrations of foliar application of ascorbic acid (200 and 400 ppm) and irrigation intervals (3, 5 and 7 days).The results showed that irrigation intervals at 3 days gave the highest values of all growth parameters except root length, fresh and dry weight of roots which increased when plants were treated with irrigation intervals at 7 days.The same treatment increased the chemical constituents except N% in roots, P% in branches and roots, K% in branches and roots, carbohydrates % in roots.Application of ascorbic acid at 400 ppm gave the highest values of the most growth parameters and chemical constituents, followed by ascorbic acid at 200 ppm.The application of ascorbic acid at 400 ppm under irrigation intervals at 3 days gave the highest values of growth parameters and chemical constituents in both seasons."
Vegetable Grafting Techniques and Applications,,,,,"Potato Beetle Control Studies || Research focused on combating Colorado Potato Beetle infestations in potato crops through various insecticide treatments. Experiments occurred in both Yakima, Washington, and Kimberly, Idaho, utilizing Ritzville and Portneuf silt loam soils. These studies, conducted in the mid-1990s, aimed to identify effective foliar and soil-applied insecticides against this pest, underlining the importance of soil conditions and application timing on pest control efficacy.","Soil Systemic Value in Colorado Potato Beetle Control, Verndale, MN, 1992","In this potato growing area of Minnesota CPB populations have generally been modest to low, commercial production irrigated but scattered, and insecticide resistance negligible, if present at all. The intent of the trial was to evaluate a traditional treatment using soil systemics with and without foliars, and their contribution to yield. The field was planted on 9 May using cut A-size Russet Burbank certified seed. Plots were 4 rows, 0.9 m in width and 9.1 m in length, arranged in a randomized complete block design replicated 4 times. Soils at this site were sandy loam and were irrigated season long. Soil systemics were applied just as the potato plants were emerging and were hilled in immediately. Foliars were applied on 25 Jun, 12, 18 and 27 Jul using 2 liters total material on .0134 ha."
Diversity and Conservation of Vascular Plants in Central Europe,,,,,"Dairy Pasture and Forage Studies || This topic encompasses research on various aspects of dairy farming including pasture improvement, forage varieties, and their impact on milk production and cow nutrition. Studies cover comparisons between different grass species like ryegrass and tall fescue, forage diet effects on goat and sheep carcasses, and the sustainability of dairy systems through grazing management. It includes analyses of milk yield differences from cows grazed on diverse pastures or fed drylot diets, the nutritional content of different forage diets, and their impact on the dairy production process, emphasizing on dry matter production, grass-legume mixes, and forage quality in dairy farming.",HARVESTING IRRIGATED ALFALFA IN THE ESTABLISHMENT YEAR IN SOUTHWESTERN SASKATCHEWAN,"Four alfalfa (Medicago sativa L.) cultivars, Beaver, Roamer, Dupuits and Alfa, were seeded on an alluvial clay loam soil in a randomized complete block design experiment in each of the 4 yr from 1976 to 1979 and again in 1981 at Swift Current, Saskatchewan. The plots were irrigated at a level to meet the evapotranspiration demand for maximum forage yield. The effect on future yields of harvesting once in the establishment year (approx. 15) was established by determining forage yields for 4, 4, 3, 2 and 2 yr subsequent to the establishment year, respectively. Establishment year harvesting reduced the subsequent yield of Beaver and Alfa cultivars in the 1976 and 1977 seedings. There were no significant effects in 1978, 1979 and 1981 seedings from establishment year harvesting. It was noted when significant yield reductions did occur in the post-establishment yields that the establishment year yield compensates and the total production of the stand is not affected. Roamer was superior to Beaver which was better than Alfa and Dupuits in winterhardiness at this location. Variation in the significance of establishment year treatments among seeding years indicated that establishment year management trials should be sequently seeded for at least 3 yr to evaluate management × environment interaction effects on perennial crops.Key words: Alfalfa, medicago, cutting, yield, winterkill"
